year,row,account,budget,actual,variance
2025-26,2,Budget Vs Actual Report,0.0,0.0,0.0
2025-26,3,07-01-2025 To 06-30-2026,0.0,0.0,0.0
2025-26,4,Budget,0.0,0.0,0.0
2025-26,5,Account,0.0,0.0,0.0
2025-26,7,"Contributions, Gifts or Grants - Income",0.0,0.0,0.0
2025-26,8,Donations - Income,0.0,18038.41,18038.41
2025-26,9,Donations Received - Winter Guard - Income,1956.6,6903.49,4946.89
2025-26,10,Grants - Income,0.0,1000.0,1000.0
2025-26,11,"Total Contributions, Gifts or Grants",1956.6,25941.9,23985.3
2025-26,12,Programs - Income,0.0,0.0,0.0
2025-26,13,Apparel/Formal Wear Income - Income,6360.0,6281.44,-78.56
2025-26,14,Total Programs,6360.0,6281.44,-78.56
2025-26,15,Membership Dues - Income,0.0,0.0,0.0
2025-26,16,Membership Fees - Income,62775.0,42602.32,-20172.68
2025-26,17,Winter Guard Fees - Income,15300.0,10898.25,-4401.75
2025-26,18,Total Membership Dues,78075.0,53500.57,-24574.43
2025-26,19,Fundraising - Income,0.0,0.0,0.0
2025-26,20,Fundraising Non-gaming - Income,52838.91,12903.17,-39935.74
2025-26,21,Mum Sales - Income,0.0,3765.0,3765.0
2025-26,22,Midwest Marching Percussion Classic - Income,0.0,12169.0,12169.0
2025-26,23,Trivia Night - Income,0.0,6113.0,6113.0
2025-26,24,Total Fundraising,52838.91,34950.17,-17888.74
2025-26,25,Merchandise - Income,0.0,0.0,0.0
2025-26,26,BoosterHub Merch - Income,0.0,107.0,107.0
2025-26,27,Family Show Shirts - Income,2000.0,2539.26,539.26
2025-26,28,Credit Card Fees - Income,0.0,2685.66,2685.66
2025-26,29,Total Merchandise,2000.0,5331.92,3331.92
2025-26,30,Other Income - Income,1440.0,1485.0,45.0
2025-26,31,Credit Card Rewards - Income,1000.0,981.47,-18.53
2025-26,32,Honor Band/Solo & Ensemble Fees - Income,600.0,600.0,0.0
2025-26,33,Interest Income - Income,0.12,0.1,-0.02
2025-26,34,Raise Right - Boosters Income - Income,0.0,1073.96,1073.96
2025-26,35,Raise Right - Student Income - Income,0.0,4295.58,4295.58
2025-26,36,Trip Income - Income,0.0,113464.28,113464.28
2025-26,37,Total Other Income,3040.12,121900.39,118860.27
2025-26,38,Total Income,144270.63,247906.39,103635.76
2025-26,40,Programs - Expense,0.0,0.0,0.0
2025-26,41,Apparel Expense - Expense,5120.0,5604.79,484.79
2025-26,42,Band Camp Professional Fees - Expense,27000.0,22875.0,-4125.0
2025-26,43,Band Family BBQ - Expense,250.0,229.5,-20.5
2025-26,44,Band Instructor/Tech - Expense,9150.0,8400.0,-750.0
2025-26,45,Copyright Fee - Expense,1500.0,894.4,-605.6
2025-26,46,Guard Instructor/Tech - Expense,3150.0,2507.95,-642.05
2025-26,47,Leadership Shirts - Expense,950.0,897.8,-52.2
2025-26,48,Miscellaneous Band Camp Expense - Expense,450.0,119.47,-330.53
2025-26,49,Staff Polo Shirts - Expense,150.0,44.69,-105.31
2025-26,50,Banquet Decorations and Cake - Expense,200.0,0.0,-200.0
2025-26,51,Banquet Food Supplies - Expense,200.0,0.0,-200.0
2025-26,52,Banquet Rental - Expense,750.0,0.0,-750.0
2025-26,53,Senior Gifts and Flowers - Expense,1250.0,0.0,-1250.0
2025-26,54,Concert Festival Fees - Expense,350.0,1920.0,1570.0
2025-26,55,Food for Audition Judges - Expense,175.0,140.0,-35.0
2025-26,56,Formal Wear - Expense,1900.0,3181.95,1281.95
2025-26,57,Jazz Band Festival - Expense,600.0,395.0,-205.0
2025-26,58,MSHSAA - Medals - Expense,600.0,0.0,-600.0
2025-26,59,Tuxedo Coat Cleaning - Expense,500.0,186.0,-314.0
2025-26,60,Tuxedo Jackets - Expense,200.0,0.0,-200.0
2025-26,61,Bands of America Entry Fee and Parking - Expense,2300.0,1225.0,-1075.0
2025-26,62,Charter Busses - Expense,8000.0,8566.04,566.04
2025-26,63,Drum Major Camp - Expense,1900.0,1270.0,-630.0
2025-26,64,Fall Color Guard Flags and Design - Expense,4150.0,3570.0,-580.0
2025-26,65,Fall Color Guard Uniforms - Expense,5500.0,5905.46,405.46
2025-26,66,Food - Marching Competitions - Expense,3000.0,3123.09,123.09
2025-26,67,Marching and Guard Gloves - Expense,450.0,390.63,-59.37
2025-26,68,Marching Competition Uniforms - Expense,12640.0,14089.5,1449.5
2025-26,69,Marching Festival Fees - Expense,650.0,650.0,0.0
2025-26,70,Marching Field Props - Expense,800.0,797.07,-2.93
2025-26,71,Miscellaneous Marching Expense - Expense,700.0,667.45,-32.55
2025-26,72,Student Leadership Workshop - Expense,3750.0,0.0,-3750.0
2025-26,73,Student/Staff Show Shirts - Expense,2000.0,1836.0,-164.0
2025-26,74,Trailer Insurance - Expense,650.0,683.0,33.0
2025-26,75,Trailer Maintenance - Expense,2000.0,641.58,-1358.42
2025-26,76,Trailer Storage - Expense,1300.0,140.0,-1160.0
2025-26,77,Truck Rental and Fuel - Expense,3000.0,710.24,-2289.76
2025-26,78,Uniform Cleaning - Expense,1000.0,624.0,-376.0
2025-26,79,Total Programs,108235.0,92285.61,-15949.39
2025-26,80,Fundraising - Expense,0.0,0.0,0.0
2025-26,81,Fundraising Non-gaming - Expense,10067.78,2674.21,-7393.57
2025-26,82,Holiday Craft and Music Market - Expense,0.0,237.49,237.49
2025-26,83,Midwest Marching Percussion Classic - Expense,0.0,4967.85,4967.85
2025-26,84,Trivia Night - Expense,0.0,692.32,692.32
2025-26,85,Total Fundraising,10067.78,8571.87,-1495.91
2025-26,86,Merchandise COGS - Expense,0.0,0.0,0.0
2025-26,87,BoosterHub Merch - Expense,0.0,71.59,71.59
2025-26,88,Family Show Shirts - Expense,2000.0,2447.0,447.0
2025-26,89,Total Merchandise COGS,2000.0,2518.59,518.59
2025-26,90,Other Expenses - Expense,0.0,0.0,0.0
2025-26,91,Bank Service Charges - Expense,0.0,137.93,137.93
2025-26,92,Clinicians - Professional Music Group - Expense,1000.0,1005.0,5.0
2025-26,93,CPA Fees - Expense,1000.0,906.3,-93.7
2025-26,94,Credit Card Fees - Expense,400.0,2592.51,2192.51
2025-26,95,Directors' Expense - Expense,1000.0,477.54,-522.46
2025-26,96,Equipment Purchases - Expense,390.0,0.0,-390.0
2025-26,97,Gifts - Expense,100.0,0.0,-100.0
2025-26,98,Honor Band / Solo-Ensemble Expense - Expense,600.0,615.0,15.0
2025-26,99,Indoor Percussion Expenses - Expense,0.0,4114.8,4114.8
2025-26,100,Miscellaneous Expenditures - Expense,500.0,1046.71,546.71
2025-26,101,Phyllis Hoing Memorial Scholarship - Expense,500.0,0.0,-500.0
2025-26,102,State Registration - MO License - Expense,11.25,10.5,-0.75
2025-26,103,Subscriptions - Expense,1210.0,1210.0,0.0
2025-26,104,Trip Expense - Expense,0.0,112851.33,112851.33
2025-26,105,Winter Guard Expenses - Expense,13081.6,11585.9,-1495.7
2025-26,106,Winter Guard Drill Design - Expense,3500.0,3500.0,0.0
2025-26,107,Winter Guard MCCGA/WGI Fees - Expense,675.0,675.0,0.0
2025-26,108,Total Other Expenses,23967.85,140728.52,116760.67
2025-26,109,Professional Fees - Expense,0.0,1000.0,1000.0
2025-26,110,Total Professional Fees,0.0,1000.0,1000.0
2025-26,111,Benefits - Expense,0.0,0.0,0.0
2025-26,112,Total Benefits,0.0,0.0,0.0
2025-26,113,Salaries - Expense,0.0,0.0,0.0
2025-26,114,Total Salaries,0.0,0.0,0.0
2025-26,115,"Rent, Utility, Maintenance - Expense",0.0,0.0,0.0
2025-26,116,"Total Rent, Utility, Maintenance",0.0,0.0,0.0
2025-26,117,"Printing, Publication, Postage and Shipping - Expense",0.0,0.0,0.0
2025-26,118,"Total Printing, Publication, Postage and Shipping",0.0,0.0,0.0
2025-26,119,Grants or similar amount paid - Expense,0.0,0.0,0.0
2025-26,120,Total Grants or similar amount paid,0.0,0.0,0.0
2025-26,121,Total Expense,144270.63,245104.59,100833.96
2025-26,122,Net Income,0.0,2801.8,2801.8
